Line_No,Date_first_seen,Duration,Proto,Flags,Tos,Packets,Bytes,Flows,src_ips,src_ports,dst_ips,dst_ports
4698,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   5.188.10.108,44528 , 157.190.62.203,30000 
4699,2017-10-23 16:19:41.754,0.0, UDP,......,0,0,0,1.0, 157.190.152.61,64597 ,   192.168.1.14,8612  
4700,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,  24.202.98.229,39540 ,157.190.137.115,23    
4701,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,  98.165.12.222,7439  ,157.190.181.252,23    
4702,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,  172.28.26.179,37743 ,  47.73.170.213,5094  
4703,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,  77.57.158.145,39284 , 157.190.53.231,23    
4704,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0, 138.68.105.223,33996 , 157.190.173.78,1089  
4705,2017-10-23 16:19:41.824,0.0, TCP,......,0,0,0,1.0,  172.28.25.227,37402 ,   52.74.147.17,80    
4706,2017-10-23 16:19:41.824,0.0, UDP,......,0,0,0,1.0,  172.28.21.231,23167 ,    193.1.186.2,53    
4707,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   58.221.44.10,59053 ,157.190.161.253,1433  
4708,2017-10-23 16:19:02.211,0.0, TCP,......,0,0,17325,1.0, 157.190.153.94,50344 ,   23.92.190.68,80    
4709,2017-10-23 16:19:02.211,0.0, TCP,......,0,0,17325,1.0, 157.190.153.94,50344 ,   23.92.190.68,80    
4710,2017-10-23 16:19:41.754,0.0, TCP,......,0,0,0,1.0,   172.28.13.25,54528 ,  17.252.59.246,443   
4711,2017-10-23 16:19:41.764,0.0, UDP,......,0,0,0,1.0, 157.190.147.81,52365 , 209.85.202.132,443   
4712,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,  88.247.28.234,44218 , 157.190.165.76,23    
4713,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,  183.82.59.113,25169 ,  157.190.89.20,23    
4714,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,  123.133.65.58,42960 ,157.190.170.100,993   
4715,1970-01-01 01:00:00.000,0.0, TCP,......,0,0,0,1.0,   106.75.64.59,58914 , 157.190.18.170,8088  
