,Proto,Flows,Bytes,src_ips,dst_ips
298,UDP,1.0,47,  172.28.29.105,    193.1.186.2
299,UDP,1.0,0,    172.28.3.75,    193.1.186.2
300,UDP,1.0,27,    172.28.3.75,    193.1.186.2
301,UDP,1.0,0,  172.28.14.215,    193.1.186.2
302,UDP,1.0,41,  172.28.14.215,    193.1.186.2
303,UDP,1.0,0,  172.28.14.215,    193.1.186.2
304,UDP,1.0,38,  172.28.14.215,    193.1.186.2
305,UDP,1.0,0,  172.28.14.215,    193.1.186.2
306,UDP,1.0,43,  172.28.14.215,    193.1.186.2
307,TCP,1.0,0,  172.28.31.148,     31.13.90.2
308,TCP,1.0,0,   172.28.1.184,  68.232.35.203
309,TCP,1.0,0,   172.28.1.184,  68.232.35.205
310,TCP,1.0,1,   172.28.12.20, 151.101.36.173
311,TCP,1.0,19787, 157.190.130.89, 209.85.202.156
312,TCP,1.0,2,   172.28.12.20,  104.16.77.165
313,TCP,1.0,1,   172.28.12.20, 104.19.196.102
314,TCP,1.0,14521,   172.28.22.30,    31.13.90.36
315,TCP,1.0,1,  157.190.28.27,  40.101.76.114
316,TCP,1.0,1,   172.28.12.20, 66.235.139.206
317,TCP,1.0,0,   172.28.8.157,   54.230.29.50
318,UDP,1.0,1427, 157.190.33.163, 209.85.202.100
319,TCP,1.0,0,    172.28.8.91,107.178.244.155
320,TCP,1.0,1811,    172.28.8.91,107.178.244.155
321,TCP,1.0,0, 157.190.129.80,    40.96.32.34
322,TCP,1.0,0, 157.190.129.80,    40.96.32.34
323,UDP,1.0,0,  172.28.13.190,    193.1.186.2
324,UDP,1.0,33,  172.28.13.190,    193.1.186.2
325,UDP,1.0,0,  172.28.13.224,    193.1.186.2
326,UDP,1.0,35,  172.28.13.224,    193.1.186.2
327,UDP,1.0,0,    172.28.2.12,    193.1.186.2
328,UDP,1.0,29,    172.28.2.12,    193.1.186.2
329,UDP,1.0,0,  172.28.14.215,    193.1.186.2
330,UDP,1.0,44,  172.28.14.215,    193.1.186.2
331,UDP,1.0,0,  172.28.14.215,    193.1.186.2
332,UDP,1.0,44,  172.28.14.215,    193.1.186.2
333,UDP,1.0,0,  172.28.13.190,    193.1.186.2
334,UDP,1.0,32,  172.28.13.190,    193.1.186.2
335,TCP,1.0,0,   172.28.4.102, 209.85.202.153
336,TCP,1.0,46713,   172.28.4.102, 209.85.202.153
337,TCP,1.0,13700, 157.190.43.110,  198.47.127.34
338,TCP,1.0,1,  157.190.56.19,     23.52.55.8
339,TCP,1.0,855,   172.28.0.221,   83.97.89.146
340,TCP,1.0,7974,  172.28.28.244,  213.19.162.57
341,UDP,1.0,28,  172.28.241.74,    193.1.186.2
342,TCP,1.0,2562,157.190.135.102,   40.112.64.26
343,UDP,1.0,90,  172.28.26.185,    193.1.186.2
344,TCP,1.0,4275,  172.28.25.198,   17.252.60.18
345,TCP,1.0,1380, 157.190.140.94,    40.101.4.18
346,TCP,1.0,0,   172.28.4.102, 209.85.202.153
347,TCP,1.0,8590,   172.28.4.102, 209.85.202.153
348,TCP,1.0,1,  157.190.96.17, 162.247.242.19
349,TCP,1.0,6483,  172.28.27.232, 104.199.64.229
350,TCP,1.0,423,   172.28.6.177, 209.85.202.189
351,TCP,1.0,44,  172.28.28.145,  169.55.67.230
352,TCP,1.0,335,   172.28.29.55, 209.85.202.189
353,TCP,1.0,455,   172.28.6.177, 209.85.202.189
354,TCP,1.0,0,  172.28.10.112,   8.250.39.254
355,TCP,1.0,0, 157.190.142.64,    40.101.4.18
356,TCP,1.0,1,  157.190.96.22, 209.85.202.156
357,TCP,1.0,0,   172.28.8.193, 35.186.197.135
358,TCP,1.0,0,  172.28.10.112,   8.250.43.254
359,TCP,1.0,0,   172.28.9.187,  209.85.202.93
360,TCP,1.0,0,  172.28.10.112,  8.249.251.254
361,TCP,1.0,0,  172.28.10.112,   8.250.39.254
362,TCP,1.0,2,   172.28.21.78, 151.101.38.110
363,TCP,1.0,130332,    172.28.4.51,   13.107.6.151
364,TCP,1.0,0,   172.28.31.87,    31.13.90.36
365,TCP,1.0,3010,   172.28.5.169,  169.47.42.199
366,TCP,1.0,1,  157.190.96.32,198.232.125.113
367,TCP,1.0,38, 157.190.52.163,  169.45.210.68
368,TCP,1.0,1, 157.190.135.54,  54.192.28.124
369,TCP,1.0,3404, 157.190.47.106,    31.13.90.36
370,TCP,1.0,18263, 157.190.42.132,  209.85.202.93
371,TCP,1.0,21416, 157.190.42.132,  209.85.202.93
372,TCP,1.0,1,  157.190.96.32,  209.85.202.97
373,UDP,1.0,23, 157.190.139.60, 209.85.202.156
374,TCP,1.0,1,  172.28.21.134,  209.85.202.17
375,TCP,1.0,0,    172.28.1.73,     31.13.90.2
376,TCP,1.0,156,  172.28.27.141,   37.157.6.251
377,TCP,1.0,452,  157.190.38.36, 209.85.202.102
378,TCP,1.0,1, 157.190.142.75,  209.85.202.94
